index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ANKRD65,Fibroblasts,0.1354162021851633,-0.06599608410066685,0.2329074291706544,2.317884328063591,0.02045560840252311,0.04911319226419294
VWA1,Fibroblasts,0.3312091657821484,0.12117966816738845,0.11354632163405191,3.4870269908446705,0.0004884220620805894,0.0018838055462581413
ATAD3C,Fibroblasts,0.008822118128678119,0.007832208612959754,0.6282489157403551,0.6902545728503277,0.49003410988365903,
ATAD3B,Fibroblasts,0.02245383830802348,-0.00662854093794219,0.5174750494772371,0.9564754336508893,0.33883209001860326,
ATAD3A,Fibroblasts,0.05228509110304981,-0.2915632495524505,0.38413138047446493,1.4830703830859902,0.13805571186611065,
SSU72,Fibroblasts,0.6254119378171993,-0.6133557391329837,0.06447357007013688,-7.965751508410403,1.6422265390186352e-15,1.4668068859870992e-14
RP5-832C2.5,Fibroblasts,0.013810767475787189,-0.03563232721932805,0.5663043029752465,0.6860694409404943,0.49266932024521026,
RP11-345P4.9,Fibroblasts,0.04049496382426905,-0.004846571470475682,0.415929727357178,1.494328589499391,0.13508975615386534,
MIB2,Fibroblasts,0.10305808940827724,-0.0811842715790805,0.2835882436750419,2.134688644595965,0.03278645116009601,0.06911410509439411
MMP23B,Fibroblasts,0.06632810085866267,-1.4946276914653103,0.41650631908549707,0.5477746545268405,0.583846643880118,
CDK11B,Fibroblasts,0.17373851284124295,-1.0396287869490093,0.176891015415641,-0.20357569248384824,0.8386850899372527,0.8603738991958411
SLC35E2B,Fibroblasts,0.1287359981520345,-0.6984256919422096,0.2441805878463155,1.280400075734681,0.20040446735394346,0.2510772076731369
CDK11A,Fibroblasts,0.1214194806029118,-1.0311480842251421,0.2489931139895973,0.7445215838882676,0.4565609883499606,0.5095875784767049
SLC35E2,Fibroblasts,0.015894387552247133,0.0037409096609891,0.6222334726108543,0.5719140927836818,0.5673801760321424,
NADK,Fibroblasts,0.13665210700886227,-0.4406272390586541,0.21189844644532127,1.701965725025534,0.08876179361850635,0.135069148756753
GNB1,Fibroblasts,0.34898632589312695,-1.0210130825150754,0.09443587210407622,-6.436829255155155,1.219950336901725e-10,8.521393045505314e-10
TMEM52,Fibroblasts,0.005783083273289494,0.003803706355611912,0.6936861421073712,0.41194607974617137,0.6803789450896067,
PRKCZ,Fibroblasts,0.01715111221037824,-0.32432962277173144,0.6383655901140645,0.7776294408137955,0.4367874996545009,
FAAP20,Fibroblasts,0.39422744642947327,-0.24750931937175275,0.09868745961715528,0.24232365885073712,0.8085293828689984,0.8335342954415037
SKI,Fibroblasts,0.2767013100536158,-0.8503283293634265,0.14860634328626804,-0.8537678518138473,0.39323363039648696,0.44746655260142765
MORN1,Fibroblasts,0.018038366756796032,-0.003378661698359597,0.5632429672938398,0.8704924097375165,0.38403136541304816,
RER1,Fibroblasts,0.8689244355271818,-0.5761448720368292,0.05727775259369555,-9.242274146037918,2.4131290491576325e-20,2.661570843435752e-19
PEX10,Fibroblasts,0.11739353699602544,-0.6237081967204451,0.24243005243852267,1.608521413700798,0.10772103017020573,0.15480233492704507
PANK4,Fibroblasts,0.05308008222670755,-0.23628119175789572,0.3854973975405584,1.5073825745290943,0.13171262271318487,
RP3-395M20.12,Fibroblasts,0.002015309933068705,-0.030774104522419767,0.45440913243573344,0.21924317872808347,0.8264606218153757,
TNFRSF14,Fibroblasts,0.15412542159752768,-0.17929269653234642,0.19342212290812338,2.536088266126394,0.011209847571513177,0.030593542330588044
FAM213B,Fibroblasts,0.009443889515391319,-0.17389753099081762,0.5383937333408255,0.5985852379207905,0.5494495025425021,
TPRG1L,Fibroblasts,0.09970472117395589,-1.393894582229085,0.2566608597650769,0.351400332543329,0.7252880329484956,0.7599951925380883
WRAP73,Fibroblasts,0.09449492727562041,-0.49035716938551954,0.29669992616901947,1.557431273434201,0.1193681259562611,0.1669767322059576
TP73-AS1,Fibroblasts,0.05229187335634502,0.10192469207849865,0.4308420712238916,1.634888032344989,0.10207252172317019,
SMIM1,Fibroblasts,0.020564608591685588,0.03997140121886289,0.5680619431634801,0.9899633678991429,0.32219202441029826,
LRRC47,Fibroblasts,0.15545311749160767,0.07573194115255254,0.19179510728372312,3.1238253569317016,0.0017851637929124997,0.0062201670749778976
CEP104,Fibroblasts,0.06269446637445333,-0.5530132597891204,0.3837044815488189,1.3783312529614875,0.16810103815004362,
DFFB,Fibroblasts,0.016409735521823884,0.0004361181195782408,0.5858876061966785,0.7761221668628925,0.4376768565126763,
C1orf174,Fibroblasts,0.15845531235246202,-0.5147373882293984,0.19882182501478005,1.429222338561973,0.15294033911041124,0.20199870165807068
NPHP4,Fibroblasts,0.02491939537098017,-0.014784735256019152,0.5611797551168076,0.8520515504367816,0.39418548093685524,
KCNAB2,Fibroblasts,0.019234046553387295,-0.07144229961188377,0.5168895647790178,0.8074052942766754,0.41943301772462993,
RPL22,Fibroblasts,6.009926447096622,-0.4670520976536009,0.031143584241030864,-15.198424272833318,3.622296688416495e-52,1.1658486798450849e-50
ICMT,Fibroblasts,0.15934835860677526,-0.8590791606056585,0.17668262692959547,0.36420182056378997,0.715707307601301,0.751221038214635
GPR153,Fibroblasts,0.11670396446873785,-1.3761099160250874,0.26823830281475747,0.21284755862286567,0.8314458671632945,0.8549168672691159
ACOT7,Fibroblasts,0.09439615605805149,-0.9924136941906297,0.26534831741504095,0.7811427081479444,0.4347185654702542,0.4884941351943399
TNFRSF25,Fibroblasts,0.026388372911864966,0.038251060124956854,0.5873176944399788,0.8994894618717182,0.368392006441579,
PLEKHG5,Fibroblasts,0.014266992927416518,0.12142992321786172,0.8328143145613855,0.8331747333327159,0.40474619028373315,
NOL9,Fibroblasts,0.07962449355243192,0.1658673906536897,0.350044905169409,2.1117073939921345,0.034711554437883506,0.07215790005224837
ZBTB48,Fibroblasts,0.04154831815820105,-0.16675802063732917,0.43884780820219227,1.2459597592218543,0.2127791690016061,
KLHL21,Fibroblasts,0.09390157282548339,-0.12453187772481913,0.31085509619552293,1.8539967590520916,0.06373962366449759,0.10839270210984467
PHF13,Fibroblasts,0.04010993806887879,-0.301478682985347,0.4847154148298727,1.1532855300461606,0.24879320736343635,
THAP3,Fibroblasts,0.1273798559245618,-0.2882884156952062,0.26172399585090345,1.7337926295949486,0.08295488387417041,0.12928687507980136
DNAJC11,Fibroblasts,0.03567233607043917,-0.11354254930223362,0.44286835539234326,1.194657869037694,0.23222072953687733,
CAMTA1,Fibroblasts,0.6031726056101747,-0.5208526715811946,0.07394734806071733,-5.280950565950115,1.28515365289068e-07,7.253395560192523e-07
